LEXICALUNIT	TOTALCORPUS1	TOTALCORPUS2	FILEDETAILS	LEXPOSPATTERNSC1	LEXPOSPATTERNSC2	POSPATTERNSC1	POSPATTERNSC2	SIMILARITY
vérifier_VER	1244	1243	./results/vérifier_VER.1987-1988.2005-2006.patterns.d3.csv	1249	1249	658	658	0.991937930989
irrésolution_NOM	12	1	./results/irrésolution_NOM.1987-1988.2005-2006.patterns.d3.csv	12	1	20	1	0.0
non-stop_ADJ	34	8	./results/non-stop_ADJ.1987-1988.2005-2006.patterns.d3.csv	32	5	39	4	0.459194132639
gène_NOM	311	394	./results/gène_NOM.1987-1988.2005-2006.patterns.d3.csv	350	414	424	486	0.953727073607
gueux_NOM	39	28	./results/gueux_NOM.1987-1988.2005-2006.patterns.d3.csv	31	27	31	27	0.860447252165
moutarder_VER	13	3	./results/moutarder_VER.1987-1988.2005-2006.patterns.d3.csv	13	3	31	9	0.1788854382
mutant_NOM	45	78	./results/mutant_NOM.1987-1988.2005-2006.patterns.d3.csv	23	35	36	44	0.495350432337
inoubliable_ADJ	149	180	./results/inoubliable_ADJ.1987-1988.2005-2006.patterns.d3.csv	148	178	148	160	0.818671021933
ex-direction_NOM	4	12	./results/ex-direction_NOM.1987-1988.2005-2006.patterns.d3.csv	2	12	1	16	0.0
seriner_VER	25	12	./results/seriner_VER.1987-1988.2005-2006.patterns.d3.csv	25	12	46	21	0.18221012927
élitaire_ADJ	10	6	./results/élitaire_ADJ.1987-1988.2005-2006.patterns.d3.csv	9	6	7	5	0.0
distillateur_NOM	13	3	./results/distillateur_NOM.1987-1988.2005-2006.patterns.d3.csv	13	3	16	3	0.0
équivaloir_VER	505	417	./results/équivaloir_VER.1987-1988.2005-2006.patterns.d3.csv	505	417	265	261	0.988735727968
goulûment_ADV	14	10	./results/goulûment_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
sauvetage_NOM	414	246	./results/sauvetage_NOM.1987-1988.2005-2006.patterns.d3.csv	419	247	300	203	0.99033834769
téléphoniste_NOM	19	7	./results/téléphoniste_NOM.1987-1988.2005-2006.patterns.d3.csv	19	7	25	7	0.40081883402
scrupuleusement_ADV	163	93	./results/scrupuleusement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
hachette_NOM	1174	420	./results/hachette_NOM.1987-1988.2005-2006.patterns.d3.csv	11	1	12	1	0.0
refuznik_NOM	148	6	./results/refuznik_NOM.1987-1988.2005-2006.patterns.d3.csv	157	6	123	1	0.0
fiscalement_ADV	44	49	./results/fiscalement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
outrage_NOM	141	138	./results/outrage_NOM.1987-1988.2005-2006.patterns.d3.csv	139	136	150	131	0.953281764191
prévoyance_NOM	141	79	./results/prévoyance_NOM.1987-1988.2005-2006.patterns.d3.csv	147	83	108	55	0.914663889373
respecter_VER	3739	3601	./results/respecter_VER.1987-1988.2005-2006.patterns.d3.csv	3788	3633	1128	1170	0.990567056203
franco-américaines_ADJ	15	15	./results/franco-américaines_ADJ.1987-1988.2005-2006.patterns.d3.csv	14	14	21	24	0.558271990389
fonctionnel_ADJ	214	146	./results/fonctionnel_ADJ.1987-1988.2005-2006.patterns.d3.csv	214	146	148	133	0.847249866915
lingerie_NOM	53	91	./results/lingerie_NOM.1987-1988.2005-2006.patterns.d3.csv	52	93	68	117	0.814682144081
courant_NOM	4939	3391	./results/courant_NOM.1987-1988.2005-2006.patterns.d3.csv	3217	2091	1155	939	0.98640290988
monaco_NOM	441	438	./results/monaco_NOM.1987-1988.2005-2006.patterns.d3.csv	18	25	13	15	0.682636540964
personnages-clés_NOM	10	6	./results/personnages-clés_NOM.1987-1988.2005-2006.patterns.d3.csv	9	5	26	12	0.787335988752
dorer_VER	257	240	./results/dorer_VER.1987-1988.2005-2006.patterns.d3.csv	257	243	187	171	0.975027208695
promeneur_NOM	131	111	./results/promeneur_NOM.1987-1988.2005-2006.patterns.d3.csv	129	110	154	138	0.817310959671
avenant_ADJ	117	135	./results/avenant_ADJ.1987-1988.2005-2006.patterns.d3.csv	50	44	51	52	0.569659047162
société_NOM	23535	16964	./results/société_NOM.1987-1988.2005-2006.patterns.d3.csv	24726	17340	2380	2051	0.996595001175
hélion_NOM	52	4	./results/hélion_NOM.1987-1988.2005-2006.patterns.d3.csv	16	0	11	0	0
terroriser_VER	121	147	./results/terroriser_VER.1987-1988.2005-2006.patterns.d3.csv	121	147	140	189	0.777519159986
athée_ADJ	123	120	./results/athée_ADJ.1987-1988.2005-2006.patterns.d3.csv	88	86	65	45	0.721917447695
offset_NOM	38	8	./results/offset_NOM.1987-1988.2005-2006.patterns.d3.csv	27	6	37	9	0.0179983082385
diagonal_ADJ	21	17	./results/diagonal_ADJ.1987-1988.2005-2006.patterns.d3.csv	18	15	40	27	0.379449858123
alcool_NOM	794	856	./results/alcool_NOM.1987-1988.2005-2006.patterns.d3.csv	829	894	355	372	0.989235711393
coron_NOM	14	15	./results/coron_NOM.1987-1988.2005-2006.patterns.d3.csv	12	15	14	16	0.737563556583
super-géant_NOM	32	0	./results/super-géant_NOM.1987-1988.2005-2006.patterns.d3.csv	28	0	0	0	0
sédentariser_VER	21	24	./results/sédentariser_VER.1987-1988.2005-2006.patterns.d3.csv	21	24	41	44	0.523891354571
autofinancer_VER	55	32	./results/autofinancer_VER.1987-1988.2005-2006.patterns.d3.csv	56	32	70	40	0.658091691943
fétide_ADJ	10	7	./results/fétide_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	7	13	12	0.703339171622
saouler_VER	27	21	./results/saouler_VER.1987-1988.2005-2006.patterns.d3.csv	27	21	41	27	0.803469423636
palazzo_NOM	32	90	./results/palazzo_NOM.1987-1988.2005-2006.patterns.d3.csv	11	18	12	24	0.0316227766017
ruminer_VER	46	38	./results/ruminer_VER.1987-1988.2005-2006.patterns.d3.csv	46	38	70	62	0.695688401379
cosignataire_NOM	20	32	./results/cosignataire_NOM.1987-1988.2005-2006.patterns.d3.csv	14	17	24	15	0.735486391114
roue_NOM	537	425	./results/roue_NOM.1987-1988.2005-2006.patterns.d3.csv	528	415	349	299	0.980987029211
local_ADJ	10786	6979	./results/local_ADJ.1987-1988.2005-2006.patterns.d3.csv	9019	5971	983	795	0.998905729819
start-up_NOM	1	105	./results/start-up_NOM.1987-1988.2005-2006.patterns.d3.csv	0	103	0	154	0
saliver_VER	20	13	./results/saliver_VER.1987-1988.2005-2006.patterns.d3.csv	20	13	40	27	0.794666068415
rfi_NOM	159	368	./results/rfi_NOM.1987-1988.2005-2006.patterns.d3.csv	0	18	0	16	0
practice_NOM	13	5	./results/practice_NOM.1987-1988.2005-2006.patterns.d3.csv	11	4	9	7	0.0
antiracisme_NOM	43	32	./results/antiracisme_NOM.1987-1988.2005-2006.patterns.d3.csv	43	31	36	29	0.872814695461
messagerie_NOM	285	207	./results/messagerie_NOM.1987-1988.2005-2006.patterns.d3.csv	293	215	268	200	0.94218663396
intis_NOM	10	0	./results/intis_NOM.1987-1988.2005-2006.patterns.d3.csv	12	0	0	0	0
explication_NOM	1841	1483	./results/explication_NOM.1987-1988.2005-2006.patterns.d3.csv	1850	1488	903	726	0.985888349754
bruisser_VER	65	49	./results/bruisser_VER.1987-1988.2005-2006.patterns.d3.csv	18	17	43	33	0.809672304808
relever_VER	5339	4748	./results/relever_VER.1987-1988.2005-2006.patterns.d3.csv	5383	4794	1285	1233	0.991344672348
minima_ADV	70	268	./results/minima_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
vitrage_NOM	28	20	./results/vitrage_NOM.1987-1988.2005-2006.patterns.d3.csv	30	21	47	37	0.552339899952
louper_VER	43	34	./results/louper_VER.1987-1988.2005-2006.patterns.d3.csv	43	34	46	46	0.836192424413
carrosser_VER	8	11	./results/carrosser_VER.1987-1988.2005-2006.patterns.d3.csv	8	11	13	16	0.0
trier_VER	157	213	./results/trier_VER.1987-1988.2005-2006.patterns.d3.csv	149	150	146	168	0.788786748933
collabo_NOM	52	27	./results/collabo_NOM.1987-1988.2005-2006.patterns.d3.csv	52	26	38	16	0.408107003631
absurdité_NOM	197	148	./results/absurdité_NOM.1987-1988.2005-2006.patterns.d3.csv	197	146	214	164	0.960249462867
trente-deuxième_NOM	25	1	./results/trente-deuxième_NOM.1987-1988.2005-2006.patterns.d3.csv	15	1	43	1	0.0
empeser_VER	20	22	./results/empeser_VER.1987-1988.2005-2006.patterns.d3.csv	20	22	19	26	0.471135636006
zoo_NOM	117	151	./results/zoo_NOM.1987-1988.2005-2006.patterns.d3.csv	106	144	122	156	0.951164642111
paragraphe_NOM	311	168	./results/paragraphe_NOM.1987-1988.2005-2006.patterns.d3.csv	326	170	276	167	0.882465419054
fabrication_NOM	1852	1052	./results/fabrication_NOM.1987-1988.2005-2006.patterns.d3.csv	1884	1073	596	431	0.989711548028
transiter_VER	280	283	./results/transiter_VER.1987-1988.2005-2006.patterns.d3.csv	281	284	287	300	0.964327781455
équipementier_NOM	75	362	./results/équipementier_NOM.1987-1988.2005-2006.patterns.d3.csv	76	372	85	325	0.870506642604
disponible_ADJ	1430	1689	./results/disponible_ADJ.1987-1988.2005-2006.patterns.d3.csv	1437	1695	536	598	0.977821606328
morse_NOM	12	29	./results/morse_NOM.1987-1988.2005-2006.patterns.d3.csv	10	20	5	21	0.774596669241
disséminer_VER	120	124	./results/disséminer_VER.1987-1988.2005-2006.patterns.d3.csv	120	124	136	173	0.958474131268
portique_NOM	51	52	./results/portique_NOM.1987-1988.2005-2006.patterns.d3.csv	51	52	78	69	0.841249201884
rayonner_VER	127	101	./results/rayonner_VER.1987-1988.2005-2006.patterns.d3.csv	128	101	171	148	0.93864959896
antijudaïsme_NOM	0	22	./results/antijudaïsme_NOM.1987-1988.2005-2006.patterns.d3.csv	0	25	0	0	0
jumeau_NOM	200	298	./results/jumeau_NOM.1987-1988.2005-2006.patterns.d3.csv	86	165	90	164	0.829558890444
ado_NOM	49	164	./results/ado_NOM.1987-1988.2005-2006.patterns.d3.csv	18	28	9	35	0.0299342170045
harcèlement_NOM	93	252	./results/harcèlement_NOM.1987-1988.2005-2006.patterns.d3.csv	93	252	135	178	0.743956516139
analphabète_ADJ	65	67	./results/analphabète_ADJ.1987-1988.2005-2006.patterns.d3.csv	64	64	67	43	0.787992419619
symbiose_NOM	93	45	./results/symbiose_NOM.1987-1988.2005-2006.patterns.d3.csv	94	44	142	75	0.908464621393
capteur_NOM	120	151	./results/capteur_NOM.1987-1988.2005-2006.patterns.d3.csv	123	152	147	196	0.9487133471
permanent_ADJ	2845	1999	./results/permanent_ADJ.1987-1988.2005-2006.patterns.d3.csv	2871	2005	697	585	0.99448050225
téléchargeable_ADJ	1	30	./results/téléchargeable_ADJ.1987-1988.2005-2006.patterns.d3.csv	1	30	5	41	0.022032632462
manipulateur_NOM	80	120	./results/manipulateur_NOM.1987-1988.2005-2006.patterns.d3.csv	58	49	80	65	0.775700929412
ex-chef_NOM	20	86	./results/ex-chef_NOM.1987-1988.2005-2006.patterns.d3.csv	19	85	25	73	0.927456756957
payeur_NOM	123	75	./results/payeur_NOM.1987-1988.2005-2006.patterns.d3.csv	96	49	110	63	0.883108898516
imbrication_NOM	54	42	./results/imbrication_NOM.1987-1988.2005-2006.patterns.d3.csv	54	42	89	77	0.899544912033
mitage_NOM	6	13	./results/mitage_NOM.1987-1988.2005-2006.patterns.d3.csv	6	12	7	10	0.0
bibendum_NOM	13	13	./results/bibendum_NOM.1987-1988.2005-2006.patterns.d3.csv	7	4	18	8	0.0
fonctionnarisation_NOM	6	5	./results/fonctionnarisation_NOM.1987-1988.2005-2006.patterns.d3.csv	6	5	10	12	0.514344499874
démarchage_NOM	35	27	./results/démarchage_NOM.1987-1988.2005-2006.patterns.d3.csv	36	27	45	40	0.755072070276
franchissement_NOM	96	80	./results/franchissement_NOM.1987-1988.2005-2006.patterns.d3.csv	96	80	127	100	0.970168006555
laic_NOM	114	0	./results/laic_NOM.1987-1988.2005-2006.patterns.d3.csv	112	0	0	0	0
éperdument_ADV	35	28	./results/éperdument_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
véloce_ADJ	13	12	./results/véloce_ADJ.1987-1988.2005-2006.patterns.d3.csv	13	12	18	6	0.0589255650989
carcan_NOM	141	122	./results/carcan_NOM.1987-1988.2005-2006.patterns.d3.csv	141	122	199	175	0.955950797411
nominés_NOM	9	15	./results/nominés_NOM.1987-1988.2005-2006.patterns.d3.csv	6	8	5	14	0.1
franco-égyptien_ADJ	7	17	./results/franco-égyptien_ADJ.1987-1988.2005-2006.patterns.d3.csv	6	17	12	18	0.183022173522
préconiser_VER	1244	916	./results/préconiser_VER.1987-1988.2005-2006.patterns.d3.csv	1251	918	697	533	0.955144327813
science-fiction_NOM	217	326	./results/science-fiction_NOM.1987-1988.2005-2006.patterns.d3.csv	211	330	168	210	0.985069951462
jade_NOM	44	63	./results/jade_NOM.1987-1988.2005-2006.patterns.d3.csv	29	32	26	33	0.906326602464
frayère_NOM	10	1	./results/frayère_NOM.1987-1988.2005-2006.patterns.d3.csv	10	1	22	1	0.0
diaphragme_NOM	6	7	./results/diaphragme_NOM.1987-1988.2005-2006.patterns.d3.csv	7	7	7	10	0.188982236505
truand_NOM	132	146	./results/truand_NOM.1987-1988.2005-2006.patterns.d3.csv	127	148	148	205	0.894020617496
existentialisme_NOM	27	31	./results/existentialisme_NOM.1987-1988.2005-2006.patterns.d3.csv	27	32	27	36	0.819156387963
case_NOM	425	444	./results/case_NOM.1987-1988.2005-2006.patterns.d3.csv	363	394	335	380	0.953576504513
mao_NOM	364	348	./results/mao_NOM.1987-1988.2005-2006.patterns.d3.csv	71	87	79	106	0.808624000382
accéder_VER	1218	1239	./results/accéder_VER.1987-1988.2005-2006.patterns.d3.csv	1219	1239	1103	1051	0.984058171876
talentueux_ADJ	142	207	./results/talentueux_ADJ.1987-1988.2005-2006.patterns.d3.csv	142	206	146	221	0.782165089154
marseillais_ADJ	771	425	./results/marseillais_ADJ.1987-1988.2005-2006.patterns.d3.csv	578	298	325	238	0.965254390872
révélateur_ADJ	589	396	./results/révélateur_ADJ.1987-1988.2005-2006.patterns.d3.csv	469	273	247	193	0.979180431574
grossissement_NOM	10	7	./results/grossissement_NOM.1987-1988.2005-2006.patterns.d3.csv	10	7	22	16	0.300049599074
gonfle_ADJ	75	47	./results/gonfle_ADJ.1987-1988.2005-2006.patterns.d3.csv	4	7	9	5	0.0
munition_NOM	478	159	./results/munition_NOM.1987-1988.2005-2006.patterns.d3.csv	497	160	308	151	0.963954140497
stoiquement_NOM	11	0	./results/stoiquement_NOM.1987-1988.2005-2006.patterns.d3.csv	11	0	0	0	0
opticien_NOM	14	21	./results/opticien_NOM.1987-1988.2005-2006.patterns.d3.csv	14	22	23	31	0.52174919475
par-ci_ADV	48	31	./results/par-ci_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
soudard_NOM	19	9	./results/soudard_NOM.1987-1988.2005-2006.patterns.d3.csv	19	9	25	12	0.0230387838792
gober_VER	14	28	./results/gober_VER.1987-1988.2005-2006.patterns.d3.csv	14	28	26	64	0.248788165428
garagiste_NOM	84	39	./results/garagiste_NOM.1987-1988.2005-2006.patterns.d3.csv	84	39	104	38	0.806258581378
biométrie_NOM	1	18	./results/biométrie_NOM.1987-1988.2005-2006.patterns.d3.csv	1	19	5	27	0.169515875905
pénates_NOM	12	10	./results/pénates_NOM.1987-1988.2005-2006.patterns.d3.csv	12	9	21	18	0.443941394544
ci_ADV	15347	9988	./results/ci_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
autodafé_NOM	26	21	./results/autodafé_NOM.1987-1988.2005-2006.patterns.d3.csv	25	20	49	37	0.680336051417
stérilet_NOM	35	6	./results/stérilet_NOM.1987-1988.2005-2006.patterns.d3.csv	34	6	37	9	0.054554472559
turbocompresseur_NOM	4	20	./results/turbocompresseur_NOM.1987-1988.2005-2006.patterns.d3.csv	4	20	5	29	0.646925543032
flegmatique_ADJ	27	21	./results/flegmatique_ADJ.1987-1988.2005-2006.patterns.d3.csv	24	16	19	13	0.0805822964025
ventilateur_NOM	45	33	./results/ventilateur_NOM.1987-1988.2005-2006.patterns.d3.csv	45	33	56	37	0.765938484223
navire_NOM	2029	1234	./results/navire_NOM.1987-1988.2005-2006.patterns.d3.csv	2074	1246	1008	719	0.972661742995
radio-actifs_ADJ	12	0	./results/radio-actifs_ADJ.1987-1988.2005-2006.patterns.d3.csv	12	0	0	0	0
frôlement_NOM	9	9	./results/frôlement_NOM.1987-1988.2005-2006.patterns.d3.csv	9	9	10	10	0.784464540553
là-même_NOM	23	0	./results/là-même_NOM.1987-1988.2005-2006.patterns.d3.csv	23	0	0	0	0
subreptice_ADJ	8	9	./results/subreptice_ADJ.1987-1988.2005-2006.patterns.d3.csv	8	9	14	18	0.318511028635
fac_NOM	226	173	./results/fac_NOM.1987-1988.2005-2006.patterns.d3.csv	129	127	103	101	0.968316975136
autonomisation_NOM	4	20	./results/autonomisation_NOM.1987-1988.2005-2006.patterns.d3.csv	3	20	8	39	0.0
urbaine_NOM	745	849	./results/urbaine_NOM.1987-1988.2005-2006.patterns.d3.csv	15	19	17	27	0.285241323466
spot_NOM	565	326	./results/spot_NOM.1987-1988.2005-2006.patterns.d3.csv	484	286	402	324	0.973390169037
semencier_NOM	3	13	./results/semencier_NOM.1987-1988.2005-2006.patterns.d3.csv	3	13	3	15	0.301511344578
enterrement_NOM	198	210	./results/enterrement_NOM.1987-1988.2005-2006.patterns.d3.csv	196	211	184	180	0.953922312565
télégramme_NOM	333	102	./results/télégramme_NOM.1987-1988.2005-2006.patterns.d3.csv	337	85	346	124	0.868808994837
effondrement_NOM	660	548	./results/effondrement_NOM.1987-1988.2005-2006.patterns.d3.csv	661	547	397	365	0.98626106109
pianistique_ADJ	45	14	./results/pianistique_ADJ.1987-1988.2005-2006.patterns.d3.csv	45	14	52	16	0.505719499712
litanie_NOM	142	100	./results/litanie_NOM.1987-1988.2005-2006.patterns.d3.csv	141	98	159	141	0.932121642894
sulfate_NOM	16	13	./results/sulfate_NOM.1987-1988.2005-2006.patterns.d3.csv	16	13	23	31	0.723123253546
picador_NOM	14	8	./results/picador_NOM.1987-1988.2005-2006.patterns.d3.csv	12	7	25	11	0.0
russe_ADJ	1522	5150	./results/russe_ADJ.1987-1988.2005-2006.patterns.d3.csv	1276	4827	513	889	0.982387995759
vêtir_VER	445	457	./results/vêtir_VER.1987-1988.2005-2006.patterns.d3.csv	445	458	198	238	0.992698328051
glacis_NOM	41	20	./results/glacis_NOM.1987-1988.2005-2006.patterns.d3.csv	41	21	81	36	0.508478525055
mountain_ADJ	36	71	./results/mountain_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	1	7	1	0.0
linéarité_NOM	6	7	./results/linéarité_NOM.1987-1988.2005-2006.patterns.d3.csv	6	7	5	18	0.0
échec_NOM	4136	3067	./results/échec_NOM.1987-1988.2005-2006.patterns.d3.csv	3447	2567	1051	905	0.99552175213
atrophier_VER	14	18	./results/atrophier_VER.1987-1988.2005-2006.patterns.d3.csv	14	18	21	30	0.154919333848
nassérienne_ADJ	31	3	./results/nassérienne_ADJ.1987-1988.2005-2006.patterns.d3.csv	28	3	36	2	0.0726073595827
parapet_NOM	14	17	./results/parapet_NOM.1987-1988.2005-2006.patterns.d3.csv	14	17	24	32	0.399266846329
épidermique_ADJ	34	37	./results/épidermique_ADJ.1987-1988.2005-2006.patterns.d3.csv	34	37	41	48	0.821726015689
nonagénaire_ADJ	23	13	./results/nonagénaire_ADJ.1987-1988.2005-2006.patterns.d3.csv	12	8	11	4	0.0
kevlar_NOM	16	6	./results/kevlar_NOM.1987-1988.2005-2006.patterns.d3.csv	12	3	13	4	0.654653670708
étendard_NOM	62	95	./results/étendard_NOM.1987-1988.2005-2006.patterns.d3.csv	57	85	92	139	0.848022247763
tapisser_VER	70	109	./results/tapisser_VER.1987-1988.2005-2006.patterns.d3.csv	52	91	73	119	0.96036088306
revolving_NOM	19	11	./results/revolving_NOM.1987-1988.2005-2006.patterns.d3.csv	18	10	8	6	0.501064345665
kyats_NOM	9	0	./results/kyats_NOM.1987-1988.2005-2006.patterns.d3.csv	12	0	0	0	0
scout_NOM	126	58	./results/scout_NOM.1987-1988.2005-2006.patterns.d3.csv	73	34	69	44	0.664065777041
susciter_VER	3635	3651	./results/susciter_VER.1987-1988.2005-2006.patterns.d3.csv	3650	3663	1133	1057	0.986096686701
ex-ministres_NOM	5	8	./results/ex-ministres_NOM.1987-1988.2005-2006.patterns.d3.csv	5	8	5	12	0.0
buffle_NOM	59	30	./results/buffle_NOM.1987-1988.2005-2006.patterns.d3.csv	58	24	51	38	0.887289514225
authentifier_VER	93	56	./results/authentifier_VER.1987-1988.2005-2006.patterns.d3.csv	93	55	156	85	0.829964140109
sérum_NOM	23	27	./results/sérum_NOM.1987-1988.2005-2006.patterns.d3.csv	22	26	28	41	0.792719922459
redéfinir_VER	184	169	./results/redéfinir_VER.1987-1988.2005-2006.patterns.d3.csv	184	169	206	200	0.940328613115
reine_NOM	913	930	./results/reine_NOM.1987-1988.2005-2006.patterns.d3.csv	808	804	487	495	0.972730722049
sarkozystes_NOM	0	97	./results/sarkozystes_NOM.1987-1988.2005-2006.patterns.d3.csv	0	80	0	0	0
ligne_NOM	6199	7919	./results/ligne_NOM.1987-1988.2005-2006.patterns.d3.csv	6478	7472	1587	1497	0.939274732981
nymphe_NOM	37	32	./results/nymphe_NOM.1987-1988.2005-2006.patterns.d3.csv	36	33	40	31	0.884421508757
démoniaque_ADJ	45	41	./results/démoniaque_ADJ.1987-1988.2005-2006.patterns.d3.csv	41	40	50	46	0.657658437096
périgée_NOM	9	2	./results/périgée_NOM.1987-1988.2005-2006.patterns.d3.csv	9	2	5	2	0.0
inachever_VER	149	113	./results/inachever_VER.1987-1988.2005-2006.patterns.d3.csv	149	113	140	113	0.918693999461
entrelarder_VER	9	3	./results/entrelarder_VER.1987-1988.2005-2006.patterns.d3.csv	9	3	19	7	0.722806322324
hiberner_VER	6	8	./results/hiberner_VER.1987-1988.2005-2006.patterns.d3.csv	6	8	15	7	0.0
musicalité_NOM	39	45	./results/musicalité_NOM.1987-1988.2005-2006.patterns.d3.csv	38	45	39	33	0.77721269921
disconvenir_VER	27	2	./results/disconvenir_VER.1987-1988.2005-2006.patterns.d3.csv	27	2	17	2	0.0317180739848
philtre_NOM	14	9	./results/philtre_NOM.1987-1988.2005-2006.patterns.d3.csv	14	9	30	19	0.158851014664
craie_NOM	70	47	./results/craie_NOM.1987-1988.2005-2006.patterns.d3.csv	71	47	91	61	0.894618128559
anticonformiste_NOM	33	20	./results/anticonformiste_NOM.1987-1988.2005-2006.patterns.d3.csv	9	4	8	11	0.0
cramponner_VER	78	22	./results/cramponner_VER.1987-1988.2005-2006.patterns.d3.csv	78	22	91	39	0.887115911888
paumé_ADJ	104	67	./results/paumé_ADJ.1987-1988.2005-2006.patterns.d3.csv	24	24	25	20	0.332454983102
astrologue_NOM	31	19	./results/astrologue_NOM.1987-1988.2005-2006.patterns.d3.csv	32	18	44	25	0.063387701038
vaudois_ADJ	23	10	./results/vaudois_ADJ.1987-1988.2005-2006.patterns.d3.csv	20	7	36	18	0.300191509755
désagréger_VER	36	25	./results/désagréger_VER.1987-1988.2005-2006.patterns.d3.csv	36	25	54	43	0.782930371226
filandreux_ADJ	11	5	./results/filandreux_ADJ.1987-1988.2005-2006.patterns.d3.csv	11	5	13	4	0.0
disloquer_VER	84	62	./results/disloquer_VER.1987-1988.2005-2006.patterns.d3.csv	84	62	116	89	0.858204957268
instance_NOM	2285	1762	./results/instance_NOM.1987-1988.2005-2006.patterns.d3.csv	2338	1788	857	691	0.994655094066
obsolescence_NOM	25	22	./results/obsolescence_NOM.1987-1988.2005-2006.patterns.d3.csv	25	22	46	39	0.755475333168
pibale_NOM	9	4	./results/pibale_NOM.1987-1988.2005-2006.patterns.d3.csv	11	3	15	3	0.0
cartable_NOM	52	60	./results/cartable_NOM.1987-1988.2005-2006.patterns.d3.csv	50	58	48	76	0.764489749011
activer_VER	219	320	./results/activer_VER.1987-1988.2005-2006.patterns.d3.csv	220	321	252	355	0.879938277185
portfolio_NOM	10	192	./results/portfolio_NOM.1987-1988.2005-2006.patterns.d3.csv	8	186	16	92	0.3449031412
toulousain_ADJ	247	277	./results/toulousain_ADJ.1987-1988.2005-2006.patterns.d3.csv	210	245	174	183	0.958032302215
tournage_NOM	773	873	./results/tournage_NOM.1987-1988.2005-2006.patterns.d3.csv	778	889	366	467	0.990643242153
asséner_VER	17	17	./results/asséner_VER.1987-1988.2005-2006.patterns.d3.csv	16	17	40	35	0.670328138263
effaçable_ADJ	14	5	./results/effaçable_ADJ.1987-1988.2005-2006.patterns.d3.csv	14	5	10	5	0.07453559925
croquant_ADJ	28	31	./results/croquant_ADJ.1987-1988.2005-2006.patterns.d3.csv	6	11	3	15	0.354100263914
parapsychologie_NOM	22	1	./results/parapsychologie_NOM.1987-1988.2005-2006.patterns.d3.csv	22	1	27	1	0.0
déclamer_VER	38	43	./results/déclamer_VER.1987-1988.2005-2006.patterns.d3.csv	38	43	64	79	0.753065201197
bibliophile_NOM	25	31	./results/bibliophile_NOM.1987-1988.2005-2006.patterns.d3.csv	25	30	36	40	0.56446637434
baroudeur_NOM	80	43	./results/baroudeur_NOM.1987-1988.2005-2006.patterns.d3.csv	75	43	99	63	0.699885367225
précoce_ADJ	250	363	./results/précoce_ADJ.1987-1988.2005-2006.patterns.d3.csv	252	365	186	231	0.97512261597
grand-oncle_NOM	11	11	./results/grand-oncle_NOM.1987-1988.2005-2006.patterns.d3.csv	10	10	12	13	0.0
retable_NOM	28	22	./results/retable_NOM.1987-1988.2005-2006.patterns.d3.csv	24	22	54	29	0.697096675577
prééminent_ADJ	20	15	./results/prééminent_ADJ.1987-1988.2005-2006.patterns.d3.csv	20	15	53	29	0.821301974064
granite_NOM	43	7	./results/granite_NOM.1987-1988.2005-2006.patterns.d3.csv	47	6	55	11	0.800039146236
volupté_NOM	115	71	./results/volupté_NOM.1987-1988.2005-2006.patterns.d3.csv	114	71	126	74	0.901264771899
stance_NOM	28	8	./results/stance_NOM.1987-1988.2005-2006.patterns.d3.csv	27	8	55	20	0.249756216422
souverainisme_NOM	0	28	./results/souverainisme_NOM.1987-1988.2005-2006.patterns.d3.csv	0	26	0	0	0
fondé_ADJ	1721	1598	./results/fondé_ADJ.1987-1988.2005-2006.patterns.d3.csv	315	313	187	166	0.97743501945
ex-porte-parole_NOM	4	9	./results/ex-porte-parole_NOM.1987-1988.2005-2006.patterns.d3.csv	4	9	5	10	0.529812942826
raréfier_VER	78	65	./results/raréfier_VER.1987-1988.2005-2006.patterns.d3.csv	78	66	87	76	0.923619320931
orang-outan_NOM	5	14	./results/orang-outan_NOM.1987-1988.2005-2006.patterns.d3.csv	5	14	9	14	0.0
impassible_ADJ	119	82	./results/impassible_ADJ.1987-1988.2005-2006.patterns.d3.csv	118	82	95	65	0.812303779681
rageusement_ADV	17	8	./results/rageusement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
caribou_NOM	17	11	./results/caribou_NOM.1987-1988.2005-2006.patterns.d3.csv	14	9	10	16	0.747476374364
extrême-gauche_NOM	18	12	./results/extrême-gauche_NOM.1987-1988.2005-2006.patterns.d3.csv	16	12	23	16	0.842965109993
ire_NOM	107	130	./results/ire_NOM.1987-1988.2005-2006.patterns.d3.csv	103	120	148	139	0.7490349454
circ_NOM	340	15	./results/circ_NOM.1987-1988.2005-2006.patterns.d3.csv	260	0	1	0	0
